num,FSDB,moTagL,moTagR,tState,brand,moPITTag,season,moDay,moMn,moYear,moAge,arrivalDate,sex,pupBM,day,month,year,event
1183,F14891,W8487,W8487,++,,041A046BE4,2019,,,,,,F,4.2,23,12,2018,3
1183,F14891,W8487,W8487,++,,041A046BE4,2019,,,,,03/02/2019,,,,,2018,12
1184,F14893,W8188,W8188,++,,041A042001,2019,,,,,,M,5,24,12,2018,2
1184,F14893,W8188,W8188,++,,041A042001,2019,,,,,11/02/2019,,,,,2018,12
1184,F14893,W8188,W8188,++,,041A042001,2020,,,,,15/12/2019,,,,,2019,5
1184,F14893,W8188,W8188,++,,041A042001,2021,,,,,07/12/2020,F,4.8,9,12,2020,2
1184,F14893,W8188,W8188-TH,+-,,041A042001,2022,,,,,06/12/2021,F,4.9,8,12,2021,2
1184,F14893,W8188,W8188-TH,+-,,041A042001,2023,,,,,05/12/2022,F,5.35,8,12,2022,2
1184,F14893,W8188,W8188-TH,+-,,041A042001,2025,,,,,06/12/2024,M,6.4,8,12,2024,4
1185,F14916,W9236,W9236,++,,0418680B5E,2019,,,,,07/02/2019,,,,,2018,7
1185,F14916,W9236,W9236,++,,0418680B5E,2019,,,,,17/02/2019,,,,,2018,12
1185,F14916,W9236,W9236,++,,0418680B5E,2022,,,,,21/11/2021,,,,,2021,5
1186,F15384,W9254-TH,W9254,-+,,041868FACD,2020,,,,,23/11/2019,F,4.6,24,11,2019,2
1186,F15384,W9254-TH,W9254,-+,,041868FACD,2021,,,,,08/12/2020,M,4.8,9,12,2020,3
1187,F15389,W9256,W9256,++,,04868DB5E,2020,,,,,26/11/2019,M,5.3,27,11,2019,2
1188,F15395,W9255,W9255,++,,041868BD93,2020,,,,,27/11/2019,F,4.3,28,11,2019,2
1188,F15395,W9255,W9255,++,,041868BD93,2021,,,,,16/12/2020,,,,,2020,5
1188,F15395,W9255,W9255,++,,041868BD93,2025,,,,,20/11/2024,,,20,11,2024,7
1189,F15147,W9257,W9257,++,,041868DEEE,2020,,,,,28/11/2019,M,5.4,29,11,2019,2
1190,F15399,W9258,W9258,++,,0417D13F78,2020,,,,,29/11/2019,F,4,29,11,2019,2
1190,F15399,W9258,W9258,++,,0417D13F78,2021,,,,,23/12/2020,,,,,2020,5
1191,F15404,W9260,W9260,++,,041868DCC1,2020,,,,,30/11/2019,F,4.8,30,11,2019,2
1191,F15404,W9260,W9260,++,,041868DCC1,2021,,,,,30/11/2020,F,4.7,1,12,2020,2
1191,F15404,W9260,W9260,++,,041868DCC1,2023,,,,,24/11/2022,F,4.7,24,11,2022,2
1192,F15402,W9259,W9259,++,,041868ECA5,2020,,,,,30/11/2019,F,5.4,30,11,2019,2
1192,F15402,W9259,W9259,++,,041868ECA5,2021,,,,,24/11/2020,M,5.2,25,11,2020,4
1193,F15390,W9262,W9262,++,,0419485FC9,2020,,,,,,F,4.6,2,12,2019,2
1193,F15390,W9262,W9262,++,,0419485FC9,2021,,,,,09/12/2020,,,,,2020,5
1194,F15405,W9263,W9263,++,,041948A1B6,2020,,,2013,6,02/12/2019,F,4.6,2,12,2019,2
1194,F15405,W9263,W9263,++,,041948A1B6,2021,,,2013,7,04/12/2020,F,4.85,5,12,2020,4
1194,F15405,W9263,W9263,++,,041948A1B6,2022,,,2013,8,18/12/2021,M,4.3,19,12,2021,2
1194,F15405,W9263-TH,W9263-TH,--,,041948A1B6,2023,,,2013,9,06/12/2022,F,4.45,7,12,2022,2
1194,F15405,W9263-TH,W9263-TH,--,,041948A1B6,2024,,,2013,10,30/11/2023,F,4.7,1,12,2023,4
1194,F15405,W9263-TH,W9263-TH,--,,041948A1B6,2025,,,2013,11,03/12/2024,F,4.5,4,12,2024,4
1195,F15408,W9261,W9261,++,,04194871FF,2020,,,2012,7,01/12/2019,M,5.9,2,12,2019,2
1195,F15408,W9261,W9261,++,,04194871FF,2021,,,2012,8,24/12/2020,,,,,2020,5
1195,F15408,W9261,W9261,++,,04194871FF,2022,,,2012,9,09/12/2021,F,4.7,11,12,2021,2
1195,F15408,W9261,W9261,++,,04194871FF,2023,,,2012,10,26/11/2022,F,5.05,27,11,2022,2
1196,F15410,W9267,W9267,++,,0419D25782,2020,,,2010,9,,F,4.5,2,12,2019,2
1196,F15410,W9267,W9267,++,,0419D25782,2021,,,2010,10,05/12/2020,F,5.1,6,12,2020,2
